web-scraper-order,web-scraper-start-url,School Name,URL,State
"1647724905-1900","https://searchenginesmarketer.com/company/resources/university-college-list/","University of Wisconsin Superior","http://uwsuper.edu","WI"
"1647724905-86","https://searchenginesmarketer.com/company/resources/university-college-list/","Argosy University","http://argosy.edu","CA"
"1647724905-1036","https://searchenginesmarketer.com/company/resources/university-college-list/","East Carolina University","http://ecu.edu","NC"
"1647724905-692","https://searchenginesmarketer.com/company/resources/university-college-list/","Centre College","http://centre.edu","KY"
"1647724905-1726","https://searchenginesmarketer.com/company/resources/university-college-list/","University of Dallas","http://udallas.edu","TX"
"1647724905-1764","https://searchenginesmarketer.com/company/resources/university-college-list/","Christopher Newport University","http://cnu.edu","VA"
"1647724905-1848","https://searchenginesmarketer.com/company/resources/university-college-list/","Seattle Central College","http://seattlecentral.edu","WA"
"1647724905-1771","https://searchenginesmarketer.com/company/resources/university-college-list/","Hampden-Sydney College","http://hsc.edu","VA"
"1647724905-1465","https://searchenginesmarketer.com/company/resources/university-college-list/","Grove City College","http://gcc.edu","PA"
"1647724905-1328","https://searchenginesmarketer.com/company/resources/university-college-list/","Cleveland State University","http://csuohio.edu","OH"
"1647724905-1293","https://searchenginesmarketer.com/company/resources/university-college-list/","State University of New York at Adirondack","http://sunyacc.edu","NY"
"1647724905-270","https://searchenginesmarketer.com/company/resources/university-college-list/","Taft College","http://taftcollege.edu","CA"
"1647724905-820","https://searchenginesmarketer.com/company/resources/university-college-list/","Montgomery College","http://montgomerycollege.edu","MD"
"1647724905-1674","https://searchenginesmarketer.com/company/resources/university-college-list/","LeTourneau University","http://letu.edu","TX"
"1647724905-1011","https://searchenginesmarketer.com/company/resources/university-college-list/","Miles Community College","http://milescc.edu","MT"
"1647724905-1892","https://searchenginesmarketer.com/company/resources/university-college-list/","University of Wisconsin Extension","http://uwex.edu","WI"
"1647724905-1046","https://searchenginesmarketer.com/company/resources/university-college-list/","Lenoir Community College","http://lenoircc.edu","NC"
"1647724905-302","https://searchenginesmarketer.com/company/resources/university-college-list/","Unitek College","http://unitekcollege.edu","CA"
"1647724905-822","https://searchenginesmarketer.com/company/resources/university-college-list/","Maryland University of Integrative Health","http://muih.edu","MD"
"1647724905-471","https://searchenginesmarketer.com/company/resources/university-college-list/","Lanier Technical College","http://laniertech.edu","GA"
"1647724905-1616","https://searchenginesmarketer.com/company/resources/university-college-list/","Milligan College","http://milligan.edu","TN"
"1647724905-806","https://searchenginesmarketer.com/company/resources/university-college-list/","Frederick Community College","http://frederick.edu","MD"
"1647724905-1358","https://searchenginesmarketer.com/company/resources/university-college-list/","Owens Community College","http://owens.edu","OH"
"1647724905-557","https://searchenginesmarketer.com/company/resources/university-college-list/","Illinois Central College","http://icc.edu","IL"
"1647724905-277","https://searchenginesmarketer.com/company/resources/university-college-list/","University of California Merced","http://ucmerced.edu","CA"
"1647724905-1264","https://searchenginesmarketer.com/company/resources/university-college-list/","New York Film Academy","http://nyfa.edu","NY"
"1647724905-1412","https://searchenginesmarketer.com/company/resources/university-college-list/","Concordia University Portland Oregon","http://cu-portland.edu","OR"
"1647724905-1279","https://searchenginesmarketer.com/company/resources/university-college-list/","The Sages Colleges","http://sage.edu","NY"
"1647724905-1058","https://searchenginesmarketer.com/company/resources/university-college-list/","Pitt Community College","http://pittcc.edu","NC"
"1647724905-886","https://searchenginesmarketer.com/company/resources/university-college-list/","Lawrence Technological University","http://ltu.edu","MI"
"1647724905-644","https://searchenginesmarketer.com/company/resources/university-college-list/","Indiana University","http://iu.edu","IN"
"1647724905-1545","https://searchenginesmarketer.com/company/resources/university-college-list/","Community College of Rhode Island","http://ccri.edu","RI"
"1647724905-1652","https://searchenginesmarketer.com/company/resources/university-college-list/","Cedar Valley College","http://cedarvalleycollege.edu","TX"
"1647724905-1677","https://searchenginesmarketer.com/company/resources/university-college-list/","Lamar State College – Orange","http://lsco.edu","TX"
"1647724905-116","https://searchenginesmarketer.com/company/resources/university-college-list/","California Institute of Integral Studies","http://ciis.edu","CA"
"1647724905-351","https://searchenginesmarketer.com/company/resources/university-college-list/","Three Rivers Community College","http://threerivers.edu","CT"
"1647724905-1122","https://searchenginesmarketer.com/company/resources/university-college-list/","Mount Washington College","http://mountwashington.edu","NH"
"1647724905-106","https://searchenginesmarketer.com/company/resources/university-college-list/","Canada College","http://canadacollege.edu","CA"
"1647724905-1589","https://searchenginesmarketer.com/company/resources/university-college-list/","Dakota Wesleyan University","http://dwu.edu","SD"
"1647724905-805","https://searchenginesmarketer.com/company/resources/university-college-list/","College of Southern Maryland","http://csmd.edu","MD"
"1647724905-446","https://searchenginesmarketer.com/company/resources/university-college-list/","Atlanta Technical College","http://atlantatech.edu","GA"
"1647724905-1672","https://searchenginesmarketer.com/company/resources/university-college-list/","Lamar State College – Port Arthur","http://lamarpa.edu","TX"
"1647724905-1056","https://searchenginesmarketer.com/company/resources/university-college-list/","University of North Carolina","http://northcarolina.edu","NC"
"1647724905-971","https://searchenginesmarketer.com/company/resources/university-college-list/","Missouri University of Science and Technology","http://mst.edu","MO"
"1647724905-1378","https://searchenginesmarketer.com/company/resources/university-college-list/","Xavier University","http://xavier.edu","OH"
"1647724905-262","https://searchenginesmarketer.com/company/resources/university-college-list/","Skyline College","http://skylinecollege.edu","CA"
"1647724905-331","https://searchenginesmarketer.com/company/resources/university-college-list/","William Howard Taft University","http://taft.edu","CO"
"1647724905-1156","https://searchenginesmarketer.com/company/resources/university-college-list/","Rutgers University","http://rutgers.edu","NJ"
"1647724905-1836","https://searchenginesmarketer.com/company/resources/university-college-list/","Eastern Washington University","http://ewu.edu","WA"
"1647724905-809","https://searchenginesmarketer.com/company/resources/university-college-list/","Goucher College","http://goucher.edu","MD"
"1647724905-2","https://searchenginesmarketer.com/company/resources/university-college-list/","Alaska Christian College","http://alaskacc.edu","AK"
"1647724905-1554","https://searchenginesmarketer.com/company/resources/university-college-list/","Centura College","http://centura.edu","SC"
"1647724905-1834","https://searchenginesmarketer.com/company/resources/university-college-list/","Everett Community College","http://everettcc.edu","WA"
"1647724905-1111","https://searchenginesmarketer.com/company/resources/university-college-list/","University of Nebraska Omaha","http://unomaha.edu","NE"
"1647724905-1619","https://searchenginesmarketer.com/company/resources/university-college-list/","Pellissippi State Community College","http://pstcc.edu","TN"
"1647724905-1080","https://searchenginesmarketer.com/company/resources/university-college-list/","Vance-Granville Community College","http://vgcc.edu","NC"
"1647724905-999","https://searchenginesmarketer.com/company/resources/university-college-list/","Northeast Mississippi Community College","http://nemcc.edu","MS"
"1647724905-1195","https://searchenginesmarketer.com/company/resources/university-college-list/","Binghamton University","http://binghamton.edu","NY"
"1647724905-1855","https://searchenginesmarketer.com/company/resources/university-college-list/","Seattle Pacific University","http://spu.edu","WA"
"1647724905-552","https://searchenginesmarketer.com/company/resources/university-college-list/","Governors State","http://govst.edu","IL"
"1647724905-1910","https://searchenginesmarketer.com/company/resources/university-college-list/","Concord University","http://concord.edu","WV"
"1647724905-845","https://searchenginesmarketer.com/company/resources/university-college-list/","Maine Maritime Academy","http://mainemaritime.edu","ME"
"1647724905-1398","https://searchenginesmarketer.com/company/resources/university-college-list/","Rose State College","http://rose.edu","OK"
"1647724905-1699","https://searchenginesmarketer.com/company/resources/university-college-list/","South Plains College","http://southplainscollege.edu","TX"
"1647724905-838","https://searchenginesmarketer.com/company/resources/university-college-list/","Saint John’s College","http://sjc.edu","MD"
"1647724905-25","https://searchenginesmarketer.com/company/resources/university-college-list/","Trenholm State Technical College","http://trenholmstate.edu","AL"
"1647724905-1445","https://searchenginesmarketer.com/company/resources/university-college-list/","Carlow University","http://carlow.edu","PA"
"1647724905-839","https://searchenginesmarketer.com/company/resources/university-college-list/","Bates College","http://bates.edu","ME"
"1647724905-486","https://searchenginesmarketer.com/company/resources/university-college-list/","Shorter University","http://shorter.edu","GA"
"1647724905-808","https://searchenginesmarketer.com/company/resources/university-college-list/","Garrett College","http://garrettcollege.edu","MD"
"1647724905-1296","https://searchenginesmarketer.com/company/resources/university-college-list/","Orange County Community College","http://sunyorange.edu","NY"
"1647724905-1252","https://searchenginesmarketer.com/company/resources/university-college-list/","Monroe Community College","http://monroecc.edu","NY"
"1647724905-1233","https://searchenginesmarketer.com/company/resources/university-college-list/","Herkimer College","http://herkimer.edu","NY"
"1647724905-19","https://searchenginesmarketer.com/company/resources/university-college-list/","Northeast Alabama Community College","http://nacc.edu","AL"
"1647724905-932","https://searchenginesmarketer.com/company/resources/university-college-list/","Normandale Community College","http://normandale.edu","MN"
"1647724905-830","https://searchenginesmarketer.com/company/resources/university-college-list/","University of Maryland","http://umaryland.edu","MD"
"1647724905-1353","https://searchenginesmarketer.com/company/resources/university-college-list/","Ohio University","http://ohio.edu","OH"
"1647724905-1287","https://searchenginesmarketer.com/company/resources/university-college-list/","Saint John’s University","http://stjohns.edu","NY"
"1647724905-664","https://searchenginesmarketer.com/company/resources/university-college-list/","Valparaiso University","http://valpo.edu","IN"
"1647724905-1438","https://searchenginesmarketer.com/company/resources/university-college-list/","Baptist Bible College & Seminary","http://bbc.edu","PA"
"1647724905-821","https://searchenginesmarketer.com/company/resources/university-college-list/","Mount Saint Mary’s University","http://msmary.edu","MD"
"1647724905-1324","https://searchenginesmarketer.com/company/resources/university-college-list/","Central State University","http://centralstate.edu","OH"
"1647724905-757","https://searchenginesmarketer.com/company/resources/university-college-list/","Massachusetts Maritime Academy","http://maritime.edu","MA"
"1647724905-1875","https://searchenginesmarketer.com/company/resources/university-college-list/","The Institute of Beauty and Wellness","http://ibw.edu","WI"
"1647724905-1243","https://searchenginesmarketer.com/company/resources/university-college-list/","Lehman College","http://lehman.edu","NY"
"1647724905-41","https://searchenginesmarketer.com/company/resources/university-college-list/","Lyon College","http://lyon.edu","AR"
"1647724905-167","https://searchenginesmarketer.com/company/resources/university-college-list/","Columbia College","http://gocolumbia.edu","CA"
"1647724905-301","https://searchenginesmarketer.com/company/resources/university-college-list/","Yosemite Community College District","http://yosemite.edu","CA"
"1647724905-269","https://searchenginesmarketer.com/company/resources/university-college-list/","Saint Mary’s College","http://stmarys-ca.edu","CA"
"1647724905-1583","https://searchenginesmarketer.com/company/resources/university-college-list/","Wofford College","http://wofford.edu","SC"
"1647724905-343","https://searchenginesmarketer.com/company/resources/university-college-list/","Goodwin College","http://goodwin.edu","CT"
"1647724905-438","https://searchenginesmarketer.com/company/resources/university-college-list/","University of Tampa","http://ut.edu","FL"
"1647724905-82","https://searchenginesmarketer.com/company/resources/university-college-list/","Allied American University","http://allied.edu","CA"
"1647724905-124","https://searchenginesmarketer.com/company/resources/university-college-list/","El Camino College Compton Center","http://compton.edu","CA"
"1647724905-137","https://searchenginesmarketer.com/company/resources/university-college-list/","California State University Sacramento","http://csus.edu","CA"
"1647724905-635","https://searchenginesmarketer.com/company/resources/university-college-list/","Goshen College","http://goshen.edu","IN"
"1647724905-392","https://searchenginesmarketer.com/company/resources/university-college-list/","Florida Institute of Technology","http://fit.edu","FL"
